Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDD08,-699.990163844,0
NCO07,3087.65696903,2
FDJ10,622.698272229,0
FDW36,1436.95862482,2
FDW21,371.745837579,0
FDY19,1660.6435704,2
DRE03,655.555239403,1
NCC55,809.604632964,9
FDH52,-292.758312747,0
FDO09,3736.49311125,2
FDU43,3476.93892443,7
FDX09,1241.87025597,0
FDH40,384.395871939,4
FDW58,1509.5864655,2
FDC47,3142.58306846,2
NCR41,1336.90580247,6
DRG49,3523.8246771,6
FDC52,3888.27254976,5
FDY13,1288.14088609,8
FDY35,644.291269145,1
FDI35,2599.60162959,2
NCU18,2352.92739948,9
FDY33,2965.02094012,3
FDC15,3624.48474664,5
FDU01,3155.37877529,9
NCU42,2701.79428496,8
NCV29,3325.53236183,3
NCY30,2636.96232064,2
FDQ46,1844.66226173,9
FDG58,3767.97623781,5
FDK33,3118.70508194,2
NCD07,1588.90308064,7
NCX29,3572.28768218,5
NCT42,2116.14434717,1
DRN59,583.227886735,6
FDI44,979.900344515,6
FDA45,2729.56924073,9
FDP31,720.975548225,7
FDY01,1699.74147111,8
FDT09,2729.5514259,3
DRH03,2961.66866078,5
FDA36,3509.15538784,3
NCF31,2160.42831446,2
FDG14,2575.51775245,9
FDG28,5201.58303956,5
FDU14,4014.87642644,9
FDY47,1175.53712055,4
FDI56,1547.399929,9
DRD01,774.01867257,1
FDM22,1001.7734769,8
FDH33,377.675424034,1
DRZ24,1611.601825,1
NCQ38,1752.30613475,8
FDO16,2817.0388491,5
FDU07,3704.31298297,5
NCB07,2704.28917601,1
FDU48,1846.80288618,7
NCM43,2379.69032209,7
FDR31,891.181121542,0
DRK49,1312.12920335,3
NCI30,2283.62414851,0
DRD60,2631.3082247,2
NCG19,3452.45557442,8
FDH12,1401.2472022,6
FDM32,1301.71676268,6
FDM27,2070.12824301,6
NCU53,3964.13605692,5
NCQ18,1456.32657894,8
FDS10,2553.36600341,1
FDB33,3899.60093868,5
FDI12,1125.87294946,1
NCW42,3136.9668331,1
NCC06,2586.26335127,3
FDW02,1841.67646288,2
NCD43,1493.78905845,2
FDM57,1882.60265225,3
FDA58,3314.28183702,2
FDK56,2756.28668413,8
FDP52,3321.2834779,7
FDW20,2533.17548273,3
FDS52,1846.6338627,9
NCT29,2396.26106524,3
NCL54,2433.02504451,1
FDC05,2800.3050515,7
FDF34,2919.96589554,6
FDP03,3382.01453741,5
FDD32,1.41242131003,0
FDZ10,1771.92872844,7
FDZ40,717.981886574,6
FDD51,1185.57086565,3
NCY30,1907.97371616,4
FDP58,2978.28270272,2
FDV49,3865.52616673,2
FDY24,-226.065538483,4
NCO55,1403.45546706,2
FDR13,1718.79933056,2
FDS51,844.380106858,2
FDP26,1297.28983042,7
NCB54,3414.42314318,5
FDF32,2789.75864082,2
FDN31,3421.01643869,3
DRM48,348.925834043,2
FDN20,2823.13896436,9
DRL01,3607.06669929,8
FDV56,1978.72747368,9
DRH13,3176.23805059,5
FDA03,2114.19403233,2
FDF47,4732.9038086,5
FDX32,2279.86645472,8
FDX57,1753.58409598,9
NCA30,2568.7074806,7
FDO49,695.709584663,1
FDL04,559.584397762,4
DRM48,364.454635981,6
FDR16,2990.29676501,1
NCC19,3422.5316908,3
NCE42,3437.6795425,7
FDY24,628.339062491,2
FDH19,2902.47285376,9
FDJ46,2456.02885136,1
FDN45,1820.48250773,0
FDY08,1815.18336835,6
FDZ37,1286.43153343,6
NCT30,533.26824122,7
DRY23,1249.53387513,3
NCZ30,2491.22522341,3
FDC44,2122.88764603,3
FDB45,1492.37942545,6
FDY04,2362.90027958,1
FDM27,2335.16783893,8
FDZ43,3514.81367887,2
FDT39,1592.05318765,4
NCC06,1121.25583572,4
FDL15,3783.51634792,5
FDL57,3729.71077708,2
FDU08,1648.83907535,8
FDK40,3868.371233,2
FDQ12,2141.12986739,0
FDS48,2184.02227682,2
FDP09,3055.95474384,7
FDW21,1868.01183373,9
FDY25,2612.74271854,6
DRE13,1233.60054783,2
FDV43,-261.269876556,4
FDD22,1459.51359495,7
FDM46,228.379567251,4
NCO30,1520.97038312,0
FDM25,2758.28963246,8
NCN41,2083.64104092,9
FDU24,1180.49369561,7
FDZ50,2871.80454439,8
FDP45,3685.12987747,1
NCM54,1748.25187516,7
FDW10,1714.93797306,4
FDP20,1799.38553639,2
FDK32,2434.53524404,8
FDN52,1490.88129888,9
FDM58,1513.64577806,7
FDZ46,3113.18343271,5
NCA18,2370.36933902,3
FDD35,1984.3249932,8
NCK31,655.125492208,6
FDI40,2919.54479924,5
FDT50,517.289779179,4
NCT06,2594.07514749,8
FDT31,2743.28690062,6
FDT45,1044.05255105,9
FDT13,2724.70162102,7
FDO50,1195.40958422,7
NCU18,753.778940922,0
NCR54,3088.80315449,9
NCO18,3329.60027168,3
FDU09,743.648626303,7
FDT13,3491.64044037,3
FDE09,1859.95088567,8
NCK53,714.053521481,4
FDG45,3286.09718946,9
DRH15,498.307043453,6
FDO21,2674.0259084,4
FDD14,4034.18526366,5
FDC09,1756.69219703,8
FDH45,2101.2513397,5
FDV32,1045.6910916,8
FDG12,1795.31315364,6
FDS32,2042.01971164,1
NCL55,4341.23294166,3
DRE01,3334.1398725,6
DRE15,1510.57366735,9
NCL42,3558.60411566,7
FDP31,684.678721492,1
FDN33,1960.57041574,3
FDZ59,2555.81092227,8
FDE45,1367.34913647,0
FDJ07,1697.32738685,1
FDQ45,3500.71801286,3
FDM33,4684.87185373,5
FDO15,-21.0760716327,0
FDM46,1060.76255355,1
FDR03,3058.45885959,7
FDY49,3237.64601682,3
FDQ60,1611.90776394,7
FDW10,2822.2319415,9
FDO51,1001.19043738,9
FDJ40,2317.84546506,3
FDS20,3352.35069916,3
FDU45,1614.41198812,1
FDV02,2390.40337843,6
FDN09,3756.6986187,8
NCM55,4231.83019601,5
FDN23,2812.87873939,3
FDY31,869.349726153,0
FDW03,396.090148889,0
FDD14,2659.46048416,8
FDV23,1672.81899254,2
DRI03,2585.08914297,7
FDN13,1195.22388374,6
FDF45,2503.95019877,5
FDU46,1302.10685701,6
FDB57,3675.48814157,9
FDV12,1774.06054077,9
FDQ58,2178.07709234,1
NCA18,1597.01859952,2
FDH52,1237.78390343,9
FDM24,2889.04928986,3
NCP43,4210.4974251,5
NCO18,1869.0635776,4
FDM32,1297.49685019,2
NCL07,478.484654942,2
FDK03,3648.10217019,1
FDP59,1454.12063331,2
FDQ24,3948.94374,9
FDQ16,2291.13509174,3
FDU44,2299.31574992,1
FDH28,-856.050472529,0
FDV28,-564.489548368,4
FDM22,746.675872728,7
FDR56,3013.91331692,8
FDV39,3267.85245921,9
FDU37,271.779734806,4
FDQ11,2574.84877898,0
FDX02,3197.30016864,7
NCS42,1984.20919664,3
FDY57,2827.28963177,5
FDB21,3699.8439366,9
FDE28,3217.67578615,2
FDQ55,1690.86208414,2
FDA48,3475.51903227,9
FDZ19,2408.17125601,7
NCC43,3554.4518327,7
NCV18,1256.14297545,8
NCA42,3041.07712619,3
FDY45,3978.43489056,8
NCC30,2570.23338162,7
FDM57,1145.90692455,1
FDL09,982.974995649,0
FDB09,3343.4203332,5
FDT44,1565.58029974,6
NCT06,3948.42672474,5
FDX26,2932.19506604,9
FDK32,2200.85389724,1
DRA12,2305.84780905,8
FDO46,1627.5251705,0
FDE52,1253.26228567,1
NCH42,3321.84071613,7
FDV08,558.318950167,6
FDB47,3736.69610831,3
FDC28,323.109810876,0
FDD22,1741.08407279,8
FDS07,3131.46520783,5
DRI13,3185.97911235,7
FDG32,3741.21110333,3
FDU14,3636.77649674,2
FDD28,51.7007264426,4
NCP41,1568.64571899,2
FDS08,2866.10002518,9
FDX47,2313.44193979,7
FDC53,803.938241974,4
FDQ19,3585.47248392,6
FDL14,2275.72752304,7
FDM33,2346.75433322,4
FDA51,1429.42480002,7
FDZ27,1436.12414092,3
FDT04,657.901072679,8
DRC13,2235.32180154,9
FDR16,4651.4926458,5
FDQ03,5006.69074263,5
FDE38,2399.80540948,6
DRH23,2179.13797632,5
FDT11,2092.25038751,4
FDD09,2609.46766946,6
FDR40,1231.26814973,7
FDX07,2712.63345384,2
FDR07,1282.44089857,6
FDA51,1448.90998643,2
FDT59,2710.39130064,4
FDF20,2820.94469966,2
FDR13,1686.60083226,7
FDY26,3477.01380124,9
FDW04,1862.59790497,2
FDK52,3212.19715757,2
FDN60,2536.83706885,9
FDM09,1657.13425691,4
FDP46,1530.70271923,9
FDB50,54.4720496475,4
NCQ29,4013.85827549,9
FDP16,5162.90037457,5
FDX33,2971.86622295,3
FDP07,1579.66308884,0
FDN22,3757.99631789,8
FDF39,4259.53963892,9
FDS21,887.138745781,2
NCM42,1499.69608026,1
FDK50,1683.192561,4
DRF13,3746.18576018,5
FDH35,3056.11622648,3
FDP60,2123.44759927,3
DRJ49,3526.83361094,5
NCT42,1454.73797442,4
FDE38,2780.93197565,9
FDI04,3234.93456351,9
NCH54,2183.7223052,7
FDT56,1086.71663689,9
DRD15,4125.70921272,3
FDV58,2605.61385663,1
FDP21,3139.29414674,9
FDH05,3313.89708143,1
FDR10,3961.40254304,5
NCP06,2112.00046052,7
FDF33,1902.14764488,9
DRK37,2706.46433195,1
DRH49,1200.32942154,7
FDT58,2298.81232331,1
FDD41,2190.34616233,3
FDP40,2371.82749748,3
FDM51,3100.9117393,5
FDO45,51.844928683,0
FDW33,128.198523424,0
FDY24,571.20637807,7
FDB10,2163.27924231,0
FDM40,1811.59583994,6
NCI06,2573.87214482,2
FDW12,1417.60104805,4
FDX48,3877.09633209,5
NCW05,2913.03954105,5
FDX27,1246.11782705,2
DRM37,2778.36722271,7
FDA38,3524.10360981,7
FDR36,674.163484934,8
FDZ45,3056.94803755,8
FDG05,2234.62288882,2
FDK28,3694.8996974,1
FDV47,1160.68831447,7
FDN21,2217.7803582,7
FDP20,3397.15028067,5
FDI35,2594.18482165,7
DRY23,498.282238871,1
FDA56,1791.80474194,2
FDB09,1694.41986188,1
NCO26,3192.15772398,5
FDQ49,3044.10753938,3
FDI52,3227.0446888,5
FDZ44,3270.686528,5
FDZ09,2988.19937706,3
FDY03,1953.4789732,9
NCG42,1825.40535198,2
DRI13,4815.53874194,5
FDQ32,1797.1695092,1
FDW16,1307.17348142,6
FDU27,676.011316969,8
FDR28,1228.30942715,0
FDQ49,1120.81645411,0
FDS37,1904.16891433,8
FDW26,3877.84788127,3
FDX12,4324.29883016,3
NCP06,2119.61053523,1
FDW45,870.51298374,0
NCN30,1723.03917189,9
FDN24,962.44073927,9
NCL41,1996.47384728,5
FDR02,895.486729502,4
FDD09,1459.2513636,0
FDS33,-64.9577738699,0
FDU22,1585.80174389,7
FDI53,2194.13160172,1
DRH01,2825.94340542,9
FDX32,1964.66343777,1
NCP30,1257.41802033,3
FDB60,2843.98957762,7
FDB14,1621.38446628,9
NCP02,756.136294689,6
FDJ10,1889.33877401,2
FDG34,1842.26903486,8
NCB18,1200.8292514,2
FDM16,1459.63013164,9
FDW25,1930.21244637,3
FDB35,46.355534454,0
DRN11,1847.6617655,1
FDF41,2627.99829223,4
FDH16,1198.71732728,7
NCQ50,3818.30545136,3
DRH23,1326.0883331,3
DRJ37,2141.71688044,1
DRJ24,4165.3964419,5
FDY16,2591.20878472,6
FDQ27,1511.89546322,7
FDZ33,1992.84473967,7
FDF29,1941.47646957,7
FDA08,2747.46972865,9
FDG31,1117.98672799,8
FDE34,1853.27478837,4
NCR30,2548.85020407,5
FDV33,3806.72377406,6
DRZ24,2382.48790852,3
NCL54,2401.08192064,6
FDR12,2929.40277315,9
NCC54,3638.087033,8
DRN59,568.939620036,1
FDX50,748.487105978,4
FDV31,4058.26759703,5
NCA29,4097.80755188,5
FDW60,3016.62557822,9
FDX08,2651.64099119,2
DRD49,3213.88020158,1
FDD33,3475.56664786,8
FDW35,580.685803437,1
FDJ36,1344.61591807,2
FDV51,2387.44559484,6
FDW36,1718.99523632,8
FDH35,2566.30644988,8
NCS30,3367.24336475,5
FDN49,386.747346539,2
FDL08,4304.76843974,3
FDI09,3345.75457364,1
FDP19,2362.43537128,3
FDU21,-849.792070673,0
NCP41,1534.88593099,7
FDY10,1543.65825021,1
FDP12,1256.7855503,3
NCN26,2025.32998363,9
FDK44,2343.86978373,1
FDC28,1891.6051972,9
FDJ41,5462.08665284,5
NCT29,1692.81947012,6
NCH42,2607.03994054,4
FDU60,3167.27735264,3
FDS02,2646.37822776,7
FDC51,2091.42817392,8
FDU03,2561.08351437,1
FDX39,3078.80567942,7
NCY05,-787.21148513,0
NCL06,5312.22394334,5
FDD32,1131.84430053,6
NCN41,1697.10244771,7
NCX53,2422.5801287,9
FDU57,1336.06769946,4
FDQ23,1739.7714706,8
FDQ52,3467.11683104,7
FDC14,554.503966782,7
FDY09,2551.88179478,6
FDQ28,2245.40757278,7
FDV25,3437.74657021,8
FDJ07,1678.81131859,6
DRB25,1843.66110346,9
FDK52,2441.91388614,4
FDY52,2520.18459198,5
FDB28,3010.35474643,8
FDT36,332.040817039,6
FDV25,3207.74284694,2
NCN07,3451.54830128,5
FDC57,2802.80077187,2
FDQ03,4160.98505182,3
FDU23,2431.52685465,2
NCX41,3090.60006814,6
NCD06,491.388081284,6
FDW08,1307.4995234,7
NCU29,2084.1042433,2
NCE06,2189.85141776,1
FDV52,284.923692162,0
FDB02,2608.07454133,2
NCR18,566.324150913,7
FDK16,1550.7872521,9
NCQ29,2366.40242488,0
FDZ01,899.586667694,4
FDW27,2100.36492766,6
FDD17,4216.36199084,3
FDW39,2571.8546603,1
DRH59,989.222823244,7
FDS52,1469.06129938,1
FDU40,4421.2518981,5
NCF54,2446.87529802,1
FDH46,1477.89530831,7
NCP14,1701.91567807,9
FDH50,2885.61286859,9
DRF15,1052.76057205,0
FDV27,2867.98203491,5
NCJ06,2071.17275904,9
FDN02,3661.94189049,3
FDQ51,1058.61407993,9
FDQ07,3185.9137194,2
FDS45,1918.60839379,9
NCJ06,1700.96724069,7
FDD36,1689.19462728,6
FDY25,2632.59726567,7
FDU52,2423.43541966,8
DRK47,3277.33988431,2
NCL30,1790.46261254,2
FDN22,3519.14155311,6
NCF30,3234.84666564,5
FDK03,3706.66416827,6
FDT45,693.981190279,2
NCC54,4966.2242643,5
FDP08,3489.34462082,3
FDU44,2601.22605023,8
DRG39,726.635366317,6
FDU32,2130.0380067,9
FDY27,2962.77451578,9
NCP54,1718.93952327,1
NCZ41,2114.61056822,9
DRL49,2023.59005687,1
FDI05,1707.5779797,3
FDY56,3278.84388932,7
DRC13,1841.54066084,1
NCV29,2598.26119693,2
FDR24,1628.67591376,9
FDZ34,3442.02219689,3
FDP37,1615.06019592,6
FDX08,4237.12265562,5
FDS57,1890.71029869,7
NCG18,1830.38744641,9
FDK25,3029.95218172,3
FDH53,1577.74277924,9
DRI59,4011.81562756,3
FDA52,2687.72537079,8
FDT20,-711.518299424,0
FDE36,1683.05546154,4
FDI24,2448.29780328,2
FDB28,3539.98862288,3
FDV11,2523.98563195,2
FDP01,2457.81135563,8
FDD34,3958.8141873,5
FDJ50,2332.82205395,5
FDZ44,1661.86963454,1
DRO59,1045.46260548,6
DRB48,589.231695646,7
FDR21,3214.84671595,3
NCE42,2274.16378115,0
FDO23,1368.1116153,8
NCE30,3706.24216512,3
FDQ22,479.587237269,6
FDY01,1450.56328485,7
FDS08,2527.89938787,2
FDG28,4366.70094193,3
FDQ51,1467.23306958,3
FDB05,3546.84318683,2
FDO56,2066.15740891,9
FDE02,1868.61733685,3
FDN45,3081.49172923,2
FDS09,598.480892427,1
NCA54,3354.20294909,3
FDP09,1886.40980652,0
FDC53,1435.73026979,7
NCM55,2621.8184898,2
FDL09,3065.98754045,3
FDA11,599.679644922,4
FDA50,1231.73399454,7
FDC23,2596.39539118,2
FDE22,2664.29459004,9
FDD23,2960.53680893,8
NCA29,2868.03628776,9
FDK38,2326.88412567,8
DRC13,2055.9596743,8
NCP43,2952.50366815,9
FDX28,1632.21304017,9
FDF08,1633.34158149,9
FDZ33,2258.12329348,8
FDD10,2972.40877752,9
FDO58,2315.3067609,2
FDI50,3399.49278839,2
FDO58,2358.83582297,7
FDX08,2613.58122971,1
NCK17,-675.201702082,0
FDF39,3885.57645506,6
FDU45,438.382388003,0
NCJ18,2190.56924492,3
DRC27,2851.65830093,4
DRC25,1195.57545642,6
FDU59,2207.81392378,6
FDU28,2654.14709756,6
NCP30,765.932952386,8
FDB39,1493.83292596,3
FDE41,1191.52987286,1
DRH11,-507.073256335,0
FDA58,3297.38500736,7
FDU50,1866.69889387,8
FDM34,1764.35627131,1
FDM44,3051.91007543,5
FDR39,2553.8343382,7
FDM25,2534.71229774,7
FDQ49,2666.7363191,9
DRH25,1512.97445715,3
FDM09,4024.09103876,5
FDL44,1688.98529228,4
NCR42,1143.71050443,3
DRL59,1006.35589416,8
FDX43,2323.31002084,1
DRK47,2051.47693439,0
FDU48,2601.74455226,3
FDY12,538.62350244,7
NCN43,2532.54331709,3
NCM55,3340.30745522,3
FDQ21,3370.84479867,5
FDX13,3628.42308558,6
NCK30,5233.26605849,5
FDG20,2797.63971377,9
DRG27,434.212953788,2
FDY14,4543.75417801,3
FDP59,1458.6996401,6
FDU60,2433.30412113,2
NCC18,1345.58957692,4
DRJ39,3189.62530867,2
FDS07,1875.67960345,9
FDM08,4851.49845437,5
FDP51,1662.77873734,7
FDU16,1144.07014316,6
FDH12,1409.45625209,1
DRE48,1721.1363763,0
NCL42,5132.0254843,5
FDR21,2488.13270753,7
NCW29,1869.5230992,6
FDO11,3689.31134421,1
NCM31,2308.44296975,9
FDV35,1260.40701792,4
FDF58,874.757360916,2
NCE43,2683.44255963,9
FDA02,2114.80109666,6
DRL37,-631.871512125,0
FDR24,2038.58296878,3
FDW59,1560.70634873,9
FDS22,1028.70461515,9
FDW24,666.219763559,2
FDU24,1204.06485594,6
FDA21,4289.170358,5
FDH58,3256.99924993,5
FDW36,2189.5422496,3
FDI45,4095.35625786,5
FDU01,3521.05109769,3
FDF35,2938.44967518,5
FDU43,2731.5830304,4
FDE24,1202.5962483,4
FDK50,2738.42206156,9
FDG31,845.477314173,7
FDC60,1179.87518529,7
FDL36,1180.86054035,1
FDP21,2779.60682085,1
FDW16,1298.81245472,7
FDX02,3220.42133498,2
FDQ58,3847.55781305,5
FDT51,1899.8418537,8
FDD59,1462.70370965,9
NCM42,2300.58305415,3
FDA57,1259.61727279,3
FDZ48,1496.01988684,6
FDE46,2202.66257104,7
NCZ30,1042.07822763,4
FDB56,2699.48358756,2
FDA25,3075.8631752,5
FDD20,1784.07158808,1
FDL25,1170.63936485,1
NCO18,2935.84722832,9
FDJ45,365.55279616,2
FDR12,2509.66534998,6
NCF19,-573.49909657,0
FDK25,2485.92573928,8
NCR17,1870.73969372,8
FDC52,2520.821856,8
NCA54,2597.22375095,2
FDR45,2300.23068538,0
NCM19,1949.54573366,9
FDF39,5517.2335903,5
FDX23,1754.28324522,9
FDD58,2964.24652911,5
FDX28,1249.19580663,1
NCD31,2340.02655521,1
FDU57,2866.28290398,3
FDI27,880.527608526,8
NCM42,1776.42927033,8
FDD32,2773.25863421,5
FDI34,3260.51360981,1
NCM29,2249.43323702,9
FDG46,2400.9901026,3
DRC01,-410.430685428,0
FDB15,5266.81492496,5
NCA17,3727.93760882,5
FDF10,2200.78753254,8
FDR26,4167.65476709,5
FDI02,1880.92027899,9
NCM54,572.439017108,0
FDF14,2168.02941974,1
FDJ33,427.146710369,0
FDM20,3561.18351896,6
FDC03,4426.67805461,5
NCX05,1782.06783651,8
NCM41,2881.35910942,5
NCU29,949.879096394,0
FDQ59,1181.34867362,2
FDH46,271.656300001,0
FDH09,618.127188957,1
NCD06,488.741457947,7
FDC15,1984.14679574,6
DRD37,2263.7222729,5
FDT28,3699.88521285,5
FDR28,4024.21514405,5
FDT38,1163.77814573,2
FDV34,2730.48168073,5
FDY52,898.245459184,6
FDB34,1187.22086275,1
DRL23,2309.34769445,3
DRB24,2510.55315613,8
FDJ50,996.415131218,8
FDQ49,2254.43959149,6
FDP20,1745.99872147,6
FDV19,3940.49857921,5
NCR54,2723.0028985,7
FDO09,2394.58223968,0
FDS57,2676.63762406,3
FDN10,2019.61878299,9
FDV23,2049.9348544,9
FDY28,3334.72729098,9
DRG51,2392.78855455,1
FDD45,374.028199708,4
NCL18,4154.09672651,5
NCM29,1861.52570866,1
FDF17,4436.0813705,5
FDE22,2321.83580009,2
FDQ22,479.726447897,2
FDS01,2605.42472507,1
FDW35,2204.14812249,5
FDJ33,1966.08183857,8
NCF54,2432.77351817,6
FDE09,1562.43868547,1
NCE06,2207.20541347,7
DRH49,1540.92865227,9
FDY43,2335.70759308,7
NCT05,3716.09048101,2
FDZ34,2687.15243772,7
FDL38,1308.73180558,2
FDZ31,2659.24594749,2
FDR14,515.069603564,6
NCN54,1479.05430465,9
NCC42,3575.05700788,5
FDK08,1274.34092016,2
FDP59,1489.13027215,1
FDV22,2333.01841717,6
FDD33,3270.82334229,6
DRE60,4719.87140886,5
FDK52,3460.32850261,8
