Item_Fat_Content,Item_Identifier,Item_MRP,Item_Outlet_Sales,Item_Type,Item_Visibility,Item_Weight,Outlet_Establishment_Year,Outlet_Identifier,Outlet_Location_Type,Outlet_Size,Outlet_Type,Item_Type_Category,Years_of_Operation
2,FDH14,141.1838,2247.7408,3,0.0467696,17.1,1987,1,2,0,1,1,26
2,FDA47,163.121,1794.331,0,0.116576702,10.5,1987,1,2,0,1,1,26
2,FDG12,121.3098,2530.7058,0,0.00633100542857,6.635,2002,7,1,2,1,1,11
0,DRE60,225.372,679.116,14,0.278974075,9.395,1985,4,0,2,0,0,28
0,DRK49,41.4138,812.276,14,0.035913805,14.15,1987,1,2,0,1,0,26
0,FDD03,232.53,699.09,4,0.079806266,13.3,1997,8,0,2,1,1,16
0,FDS52,102.4016,2732.4432,5,0.005505481,8.89,2007,2,1,2,1,1,6
2,FDW39,176.937,176.437,10,0.064625342,6.69,1985,4,0,2,0,1,28
0,FDX34,121.7098,4097.3332,13,0.071636937,6.195,1985,5,2,1,3,1,28
2,FDV11,173.2054,3151.8972,1,0.0895920895714,9.1,2002,7,1,2,1,1,11
0,FDD17,239.0906,5942.265,5,0.032677678,7.5,1999,9,0,1,1,1,14
2,FDZ16,192.4478,4843.695,5,0.160760054,16.85,2007,2,1,2,1,1,6
0,FDZ46,109.0228,2542.0244,13,0.06911065,7.485,2004,6,1,2,1,1,9
0,DRA12,140.3154,2552.6772,14,0.041177505,11.6,2007,2,1,2,1,0,6
0,FDY58,227.0694,1141.847,13,0.040081193,11.65,2009,3,2,1,2,1,4
1,NCF19,47.5034,680.4476,9,0.035307322,13.0,2007,2,1,2,1,2,6
0,DRJ13,159.0578,2085.9514,14,0.063017847,12.65,2002,7,1,2,1,0,11
2,FDB14,92.512,186.424,3,0.171938781,20.25,1998,0,2,2,0,1,15
2,FDJ38,190.153,3036.048,3,0.040197932,8.6,2004,6,1,2,1,1,9
0,FDW11,62.7194,866.8716,1,0.049058014,12.6,2007,2,1,2,1,1,6
0,FDL40,95.041,868.869,5,0.01161096,17.7,2004,6,1,2,1,1,9
0,DRI49,82.4276,1137.1864,14,0.183507295,14.15,1997,8,0,2,1,0,16
0,FDV38,52.7956,928.1252,4,0.102349519,19.25,2007,2,1,2,1,1,6
0,DRG23,151.7682,762.341,7,0.086708987,8.88,1987,1,2,0,1,0,26
1,NCP30,40.2822,707.0796,9,0.032835147,20.5,2002,7,1,2,1,2,11
0,FDY25,180.5976,7968.2944,3,0.033809913,12.0,1985,5,2,1,3,1,28
1,NCH54,160.292,1438.128,9,0.07266912,13.5,1997,8,0,2,1,2,16
1,NCR53,224.4404,6976.2524,8,0.144338493,12.15,1985,5,2,1,3,2,28
0,FDS52,101.7016,101.2016,5,0.009163216,8.89,1998,0,2,2,0,1,15
0,FDG02,188.5188,952.094,3,0.011307038,7.855,2009,3,2,1,2,1,4
1,NCO26,116.0492,1969.4364,9,0.076855628,7.235,1997,8,0,2,1,2,16
0,FDH35,165.4526,5262.4832,15,0.059956876,18.25,1985,5,2,1,3,1,28
0,FDB51,60.5852,1314.2892,4,0.038532062,6.92,2002,7,1,2,1,1,11
0,FDX44,90.8172,535.3032,6,0.043209581,9.3,2007,2,1,2,1,1,6
1,NCN07,132.1284,263.6568,11,0.056816465,18.5,1998,0,2,2,0,2,15
1,NCC31,154.5972,1402.1748,9,0.019866705,8.02,2004,6,1,2,1,2,9
1,NCX54,105.1622,1693.7952,9,0.048331717,9.195,2007,2,1,2,1,2,6
1,NCO55,105.5938,2143.876,11,0.091221855,12.8,2002,7,1,2,1,2,11
1,NCC30,177.6344,2676.516,9,0.027622076,16.6,1999,9,0,1,1,2,14
2,FDI16,53.064,905.488,5,0.157383709222,14.0,2004,6,1,2,1,1,9
0,FDP16,246.3802,7370.406,5,0.039355947,18.6,1999,9,0,1,1,1,14
0,FDB11,226.8404,6301.1312,15,0.060836524,16.0,2004,6,1,2,1,1,9
1,NCB06,160.692,1597.92,8,0.082316506,17.6,2004,6,1,2,1,2,9
0,FDA45,178.237,529.311,13,0.155350299,21.25,2004,6,1,2,1,1,9
1,NCO26,117.5492,1969.4364,9,0.076841095,7.235,2004,6,1,2,1,2,9
0,DRJ25,50.3692,1034.6532,14,0.151419185,14.6,2007,2,1,2,1,0,6
2,FDR28,161.521,1794.331,5,0.026001976,13.85,2009,3,2,1,2,1,4
2,FDI04,197.6426,2768.3964,5,0.073209447,13.65,2009,3,2,1,2,1,4
0,DRK12,31.29,898.83,14,0.041683481,9.5,1985,5,2,1,3,0,28
0,FDX20,226.172,3169.208,6,0.042560252,7.365,1997,8,0,2,1,1,16
1,NCI18,223.5746,3589.9936,9,0.014081156,18.35,2009,3,2,1,2,2,4
2,FDB36,132.5626,262.3252,0,0.0485448542,5.465,2009,3,2,1,2,1,4
0,FDN13,99.8358,1910.1802,2,0.152918384,18.6,2007,2,1,2,1,1,6
0,DRD24,140.9154,1701.7848,14,0.030969274,13.85,2007,2,1,2,1,0,6
2,FDQ28,154.5656,2471.4496,5,0.060376776,14.0,1987,1,2,0,1,1,26
2,FDM22,54.764,1331.6,13,0.04192285,14.0,1987,1,2,0,1,1,26
0,FDR07,97.0094,1808.9786,6,0.077367431,21.35,1985,5,2,1,3,1,28
0,FDV25,222.5456,3315.684,3,0.045838211,5.905,2009,3,2,1,2,1,4
0,DRF49,114.2518,2618.5914,14,0.071077939,7.27,1997,8,0,2,1,0,16
2,FDW51,214.556,2769.728,10,0.094659871,6.155,1997,8,0,2,1,1,16
2,DRL01,233.4958,5375.0034,14,0.077608838,19.5,2007,2,1,2,1,0,6
0,FDP25,216.8824,2838.9712,3,0.021327477,15.2,2007,2,1,2,1,1,6
2,FDL50,125.0046,1743.0644,3,0.042485444,12.15,2009,3,2,1,2,1,4
1,NCB30,198.8084,5555.4352,9,0.025578526,14.6,1985,5,2,1,3,2,28
0,FDW11,61.9194,619.194,1,0.0489808,12.6,2009,3,2,1,2,1,4
1,NCM43,164.821,2120.573,11,0.019471688,14.5,2004,6,1,2,1,2,9
0,FDK44,173.0738,3823.0236,6,0.122918852,16.6,2007,2,1,2,1,1,6
2,FDM15,151.4366,1360.2294,10,0.057373797,11.8,1987,1,2,0,1,1,26
2,FDS31,178.8318,3969.4996,6,0.044155597,13.1,1987,1,2,0,1,1,26
0,FDI32,115.1834,345.5502,6,0.291865402,17.7,1998,0,2,2,0,1,15
0,FDR47,196.5794,585.2382,1,0.0948385695556,17.85,1998,0,2,2,0,1,15
2,FDB35,92.6804,1010.6844,15,0.064750025,12.3,2002,7,1,2,1,1,11
1,NCU05,81.4618,161.1236,8,0.098312421,11.8,1998,0,2,2,0,2,15
2,DRY23,42.1112,42.6112,14,0.191013663,9.395,1985,4,0,2,0,0,28
0,FDO24,157.4604,3010.7476,0,0.176573035,11.1,2002,7,1,2,1,1,11
2,FDQ28,153.0656,6024.1584,5,0.060134441,14.0,1985,5,2,1,3,1,28
0,FDV39,198.1426,988.713,10,0.007294652,11.3,2002,7,1,2,1,1,11
1,NCO17,117.944,239.688,8,0.128478462,10.0,1985,4,0,2,0,2,28
2,FDU50,112.8176,1374.2112,4,0.075107656,5.75,1987,1,2,0,1,1,26
2,FDT12,226.8062,4739.8302,0,0.049381406,6.215,1985,5,2,1,3,1,28
2,FDK58,100.0016,1012.016,13,0.045165796,11.35,2009,3,2,1,2,1,4
2,FDO08,165.7526,657.8104,6,0.09415375,11.1,1985,4,0,2,0,1,28
1,NCW29,130.431,778.986,8,0.028907832,14.0,1999,9,0,1,1,2,14
2,FDE04,179.766,2336.958,5,0.018059621,19.75,2002,7,1,2,1,1,11
1,NCB19,85.0882,2233.0932,9,0.090436094,6.525,1999,9,0,1,1,2,14
0,FDV15,103.9648,1661.8368,10,0.146399712,10.3,1999,9,0,1,1,1,14
2,FDL58,264.7568,4745.8224,13,0.074264356,5.78,1999,9,0,1,1,1,14
2,FDA08,164.1526,3124.5994,6,0.050186726,11.85,2002,7,1,2,1,1,11
0,FDT43,50.1324,467.3916,6,0.020631654,16.35,2009,3,2,1,2,1,4
1,NCX06,182.5976,5070.7328,9,0.01561108,17.6,1985,5,2,1,3,2,28
0,FDT20,37.6164,540.6296,6,0.041395445,10.5,1997,8,0,2,1,1,16
2,FDB41,48.0718,992.7078,5,0.097313129,19.0,1997,8,0,2,1,1,16
1,NCN55,238.8538,6008.845,11,0.059582996,14.6,1999,9,0,1,1,2,14
2,FDE40,62.9194,2105.2596,4,0.098663652,15.6,1985,5,2,1,3,1,28
2,FDX49,232.63,5359.69,3,0.101338651,4.615,1985,5,2,1,3,1,28
1,NCM53,104.628,745.696,8,0.052146456,18.75,2002,7,1,2,1,2,11
2,FDE36,161.8868,3275.736,0,0.041764487,5.26,2004,6,1,2,1,1,9
0,FDN57,140.2154,1701.7848,13,0.054344186,18.25,2002,7,1,2,1,1,11
0,FDI24,177.937,6704.606,0,0.078362484,10.3,1985,5,2,1,3,1,28
0,FDI19,242.7512,4119.9704,10,0.052339069,15.1,1997,8,0,2,1,1,16
2,FDF24,81.5934,327.5736,0,0.042464962,15.5,1998,0,2,2,0,1,15
0,FDG52,45.7402,780.9834,5,0.065732883,13.65,1999,9,0,1,1,1,14
0,DRF36,189.3846,3630.6074,14,0.023625114,16.1,2002,7,1,2,1,0,11
2,FDS45,107.3622,317.5866,13,0.051643608,5.175,1985,4,0,2,0,1,28
0,FDX40,39.7164,231.6984,5,0.165694219,12.85,1998,0,2,2,0,1,15
0,DRK12,32.99,133.16,14,0.041878397,9.5,2004,6,1,2,1,0,9
0,DRC27,245.1802,5650.6446,4,0.058091482,13.8,2004,6,1,2,1,0,9
2,FDL58,263.7568,2636.568,13,0.0859013597778,5.78,2007,2,1,2,1,1,6
1,NCD30,96.0726,1272.3438,9,0.026903714,19.7,2002,7,1,2,1,2,11
1,NCZ54,161.5552,324.9104,9,0.0903830663333,14.65,1998,0,2,2,0,2,15
2,FDE10,130.0626,131.1626,13,0.150554711,6.67,1998,0,2,2,0,1,15
2,FDR44,131.2968,260.9936,6,0.1030167175,6.11,1998,0,2,2,0,1,15
2,FDP28,260.0936,260.9936,5,0.134975628,13.65,1998,0,2,2,0,1,15
0,FDX15,160.6578,3690.5294,10,0.15616879,17.2,1987,1,2,0,1,1,26
0,FDA39,40.2822,1139.1838,10,0.013801249375,6.32,2004,6,1,2,1,1,9
2,FDY24,52.9298,1995.4026,0,0.133700752,4.88,1999,9,0,1,1,1,14
2,FDC60,88.3514,1416.8224,0,0.115119905,5.425,2007,2,1,2,1,1,6
2,FDH28,37.2506,265.6542,5,0.110030997,15.85,1997,8,0,2,1,1,16
0,FDT25,121.7072,3552.7088,3,0.051038045,7.5,2007,2,1,2,1,1,6
0,DRJ13,161.5578,2406.867,14,0.062837968,12.65,1987,1,2,0,1,0,26
1,NCO07,211.956,213.056,11,0.017116983,9.06,1985,4,0,2,0,2,28
0,FDW20,124.173,2956.152,6,0.024129332,20.75,1987,1,2,0,1,1,26
0,DRF27,152.134,153.134,4,0.049754975,8.93,1985,4,0,2,0,0,28
0,FDS49,79.7644,1649.8524,3,0.086868554375,9.0,2004,6,1,2,1,1,9
0,FDX25,181.9292,3101.2964,3,0.101561568,16.7,1985,5,2,1,3,1,28
1,NCX42,165.6526,4769.1254,9,0.005949644,6.36,1985,5,2,1,3,2,28
2,FDG33,170.4764,3435.528,12,0.13956116,5.365,1985,5,2,1,3,1,28
0,FDL56,86.4198,1133.8574,6,0.126035694,14.1,2002,7,1,2,1,1,11
0,FDF14,152.334,2603.278,3,0.027164679,7.55,2004,6,1,2,1,1,9
1,NCD06,45.406,605.878,9,0.099325278,13.0,1997,8,0,2,1,2,16
0,DRM47,192.8846,2293.0152,7,0.04357366,9.3,1985,5,2,1,3,0,28
2,FDS46,118.7782,119.1782,13,0.082741482,17.6,1985,4,0,2,0,1,28
2,FDB35,92.9804,1929.4884,15,0.064565202,12.3,1987,1,2,0,1,1,26
0,FDX21,109.8912,2074.6328,13,0.084554569,7.05,1985,5,2,1,3,1,28
1,NCU05,79.9618,241.6854,8,0.058451805,11.8,1985,5,2,1,3,2,28
1,NCR38,251.3724,6795.1548,9,0.113748685,17.25,2002,7,1,2,1,2,11
1,NCR18,42.7112,639.168,9,0.020603511,15.85,2007,2,1,2,1,2,6
1,NCU41,192.1846,3248.4382,8,0.052044976,18.85,2004,6,1,2,1,2,9
2,FDY56,227.6062,7222.5984,6,0.062764429,16.35,2007,2,1,2,1,1,6
0,DRJ51,229.0668,3225.1352,4,0.087977262,14.1,2004,6,1,2,1,0,9
0,FDK21,249.0408,3755.112,13,0.010010425,7.905,2004,6,1,2,1,1,9
0,FDY25,179.3976,3440.8544,3,0.033946163,12.0,1987,1,2,0,1,1,26
2,FDU44,163.4552,974.7312,6,0.058414678,12.15,2004,6,1,2,1,1,9
0,FDL43,75.367,535.969,10,0.027106459,10.1,1999,9,0,1,1,1,14
0,FDF05,262.491,5259.82,5,0.027022883,17.5,2007,2,1,2,1,1,6
0,DRF15,152.034,306.268,4,0.058153409,18.35,1985,4,0,2,0,0,28
0,FDL20,112.3886,1779.0176,6,0.128937661,17.1,2009,3,2,1,2,1,4
0,FDV32,61.451,759.012,6,0.088846306,7.785,1999,9,0,1,1,1,14
2,FDJ34,125.9704,1877.556,13,0.09357779,11.8,1987,1,2,0,1,1,26
2,FDG08,171.8764,3779.0808,6,0.165694678,13.15,2002,7,1,2,1,1,11
0,FDQ04,41.5796,41.2796,5,0.148392623,6.4,1985,4,0,2,0,1,28
0,FDW13,51.1324,259.662,3,0.098438394,8.5,2007,2,1,2,1,1,6
1,NCI17,96.341,193.082,8,0.143303291,8.645,1987,1,2,0,1,2,26
2,FDY03,110.9202,1687.803,10,0.076276208,17.6,2002,7,1,2,1,1,11
0,FDS12,127.5362,4655.9394,0,0.175103435,9.1,2007,2,1,2,1,1,6
2,FDJ55,225.9404,4950.8888,10,0.023511371,12.8,1987,1,2,0,1,1,26
0,DRK01,95.4436,1418.154,14,0.06105276,7.63,2004,6,1,2,1,0,9
2,FDG28,246.4144,1225.072,5,0.049559042,9.285,2007,2,1,2,1,1,6
2,FDY38,231.03,5359.69,4,0.119418124,13.6,2002,7,1,2,1,1,11
0,FDN01,176.237,1764.37,2,0.072545601,8.895,2002,7,1,2,1,1,11
1,NCR54,195.211,2553.343,9,0.090486828,16.35,1987,1,2,0,1,2,26
0,FDG29,43.3454,1006.6896,5,0.056245075,17.6,1987,1,2,0,1,1,26
0,FDG24,85.225,1081.925,0,0.014618973,7.975,1987,1,2,0,1,1,26
0,FDG59,36.7164,308.9312,15,0.043479126,15.85,2007,2,1,2,1,1,6
0,FDM28,178.666,2516.724,5,0.045166237,15.7,1987,1,2,0,1,1,26
2,FDW04,128.831,1428.141,5,0.057827101,8.985,1997,8,0,2,1,1,16
0,FDS26,260.1594,2093.2752,4,0.089394766,20.35,1987,1,2,0,1,1,26
0,FDQ56,85.6908,1929.4884,6,0.10550944,6.59,1987,1,2,0,1,1,26
0,FDK51,264.0884,5829.7448,4,0.005234153,19.85,2004,6,1,2,1,1,9
0,FDL22,91.4488,2082.6224,13,0.036390174,16.85,1997,8,0,2,1,1,16
0,FDH19,173.1738,7298.4996,10,0.03292824,19.35,1985,5,2,1,3,1,28
0,FDY55,256.4988,7452.9652,6,0.081252534,16.75,1987,1,2,0,1,1,26
2,FDY03,110.5202,450.0808,10,0.076552407,17.6,2007,2,1,2,1,1,6
0,FDK21,250.4408,500.6816,13,0.016758569,7.905,1998,0,2,2,0,1,15
0,FDZ10,126.202,3668.558,13,0.044248175,17.85,1985,5,2,1,3,1,28
2,FDZ32,103.1964,736.3748,6,0.038288087,7.785,2009,3,2,1,2,1,4
1,NCZ18,253.0698,6088.0752,9,0.186032678,7.825,2004,6,1,2,1,2,9
1,NCF07,101.0016,2125.2336,9,0.031867464,9.0,1985,5,2,1,3,2,28
0,DRE49,153.0024,2277.036,14,0.021370201,20.75,2007,2,1,2,1,0,6
0,FDJ08,190.3846,573.2538,6,0.193772568,11.1,1985,4,0,2,0,1,28
2,FDT39,151.1366,2267.049,10,0.009866049,6.26,2004,6,1,2,1,1,9
0,FDE08,147.3734,296.9468,6,0.082551042,18.2,1998,0,2,2,0,1,15
1,NCD06,46.306,559.272,9,0.099729888,13.0,2009,3,2,1,2,2,4
2,FDB57,222.1772,5559.43,6,0.018801549,20.25,2004,6,1,2,1,1,9
1,NCT54,95.5094,1237.7222,9,0.119721451,8.695,1999,9,0,1,1,2,14
0,DRF49,113.5518,569.259,14,0.071222087,7.27,2002,7,1,2,1,0,11
2,FDM25,174.0712,3866.9664,2,0.060371962,10.695,1985,5,2,1,3,1,28
0,FDF20,198.4768,1379.5376,6,0.033287541,12.85,2002,7,1,2,1,1,11
0,FDH27,142.7128,1869.5664,4,0.05858462,7.075,2009,3,2,1,2,1,4
2,FDV60,196.211,5499.508,0,0.11679292,20.2,1985,5,2,1,3,1,28
0,FDY59,94.3462,925.462,0,0.031452265,8.195,1999,9,0,1,1,1,14
0,FDK36,47.9034,583.2408,0,0.00721395,7.09,2004,6,1,2,1,1,9
1,NCM31,141.4154,1418.154,11,0.081196619,6.095,1997,8,0,2,1,2,16
2,FDE33,80.2644,942.7728,6,0.049916364,19.35,2007,2,1,2,1,1,6
0,FDU36,99.3384,2364.9216,0,0.04627095,6.15,1997,8,0,2,1,1,16
2,FDV13,87.9856,3251.7672,3,0.02747716,17.35,1985,5,2,1,3,1,28
2,FDV20,125.2678,254.3356,6,0.104704537,20.2,1985,4,0,2,0,1,28
1,NCQ54,167.0474,5895.659,9,0.012540003,17.7,2004,6,1,2,1,2,9
0,FDO23,93.7436,1134.5232,1,0.147023834,17.85,2009,3,2,1,2,1,4
0,DRE60,224.972,7696.648,14,0.159657596,9.395,2002,7,1,2,1,0,11
0,DRP47,250.5382,2775.7202,7,0.141398626,15.75,2007,2,1,2,1,0,6
0,FDB21,241.2854,5317.0788,6,0.148821808,7.475,2002,7,1,2,1,1,11
0,FDR04,98.0068,874.8612,5,0.024477186,7.075,2009,3,2,1,2,1,4
0,FDX23,92.6436,1039.9796,0,0.029691762,6.445,1997,8,0,2,1,1,16
0,FDX19,235.0958,3038.0454,6,0.096715523,19.1,2004,6,1,2,1,1,9
